2;49: 1
22_23_25_32;43_52_54_58: 1
22_23_25_52;30_46_60_66: 1
22_23_25_52;32_49_50_60: 1
22_23_26_30;2_32_39_41: 1
22_23_26_32;2_39_47_63: 1
22_23_26_32;25_27_30_46: 1
22_23_26_32;25_30_41_46: 1
22_23_26_32;25_30_46_58: 1
22_23_26_32;25_30_52_60: 1
22_23_26_38;25_32_49_64: 1
22_23_29_32;2_25_30_46: 1
22_23_29_32;2_39_41_47: 1
22_23_29_32;24_31_43_54: 2
22_23_29_32;25_30_37_46: 1
22_23_29_32;25_30_38_46: 1
22_23_29_32;25_30_60_66: 1
22_23_29_32;25_43_54_60: 1
22_23_29_32;58: 1
22_23_29_39;3_25_32_52: 1
22_23_30_37;25_32_52_56: 1
22_23_30_49;25_32_52_60: 1
22_23_30_52;39_47_60_66: 1
22_23_31_54;2_3_30_37: 1
22_23_31_54;25_32_43_52: 1
22_23_32_33;2_25_30_35: 1
22_23_32_33;2_25_30_46: 2
22_23_32_33;2_25_39_52: 1
22_23_32_33;2_30_60_63: 1
22_23_32_33;2_43_54_63: 1
22_23_32_33;2_47_54_63: 1
22_23_32_33;3_30_52_60: 1
22_23_32_33;3_52_56_58: 1
22_23_32_33;15_30_36_38: 1
22_23_32_33;25_30_31_52: 1
22_23_32_33;25_30_38_46: 6
22_23_32_33;25_30_38_48: 1
22_23_32_33;25_30_38_66: 1
22_23_32_33;25_30_41_46: 4
22_23_32_33;25_30_43_46: 2
22_23_32_33;25_30_46_52: 2
22_23_32_33;25_30_46_60: 1
22_23_32_33;25_30_47_60: 1
22_23_32_33;25_30_49_64: 1
22_23_32_33;25_30_52_56: 1
22_23_32_33;25_30_52_60: 2
22_23_32_33;25_34_46_58: 1
22_23_32_33;25_37_39_46: 1
22_23_32_33;25_41_47_52: 1
22_23_32_33;25_43_54_60: 2
22_23_32_33;25_47_52_60: 1
22_23_32_33;25_47_54_60: 1
22_23_32_33;26_30_31_38: 1
22_23_32_33;30_38_47_66: 1
22_23_32_33;30_42_52_56: 1
22_23_32_33;30_49_60_64: 1
22_23_32_33;30_54_55_57: 1
22_23_32_37;3_25_45_52: 1
22_23_32_37;25_30_38_46: 2
22_23_32_37;25_30_46_60: 3
22_23_32_37;25_30_52_56: 1
22_23_32_37;25_39_41_46: 1
22_23_32_37;30_47_52_60: 1
22_23_32_37;30_52_55_57: 1
22_23_32_41;2_25_30_52: 1
22_23_32_41;25_30_52_60: 1
22_23_32_41;25_43_46_50: 1
22_23_32_42;2_3_14_45: 1
22_23_32_46;2_30_37_41: 1
22_23_32_46;30_43_52_56: 1
22_23_32_46;30_47_52_60: 1
22_23_32_47;25_30_46_60: 1
22_23_32_47;30_45_51_52: 1
22_23_32_48;25_34_47_60: 1
22_23_32_49;3_30_60_66: 1
22_23_32_49;25_47_54_60: 1
22_23_32_51;30_52_56_60: 1
22_23_32_52;2_3_25_60: 1
22_23_32_52;2_25_30_46: 10
22_23_32_52;2_25_35_63: 1
22_23_32_52;2_25_39_46: 1
22_23_32_52;2_30_37_41: 1
22_23_32_52;2_30_37_43: 1
22_23_32_52;2_30_37_63: 2
22_23_32_52;2_30_41_60: 1
22_23_32_52;2_30_45_54: 1
22_23_32_52;2_30_47_63: 1
22_23_32_52;2_30_54_63: 2
22_23_32_52;2_30_64_66: 1
22_23_32_52;2_31_39_41: 1
22_23_32_52;2_36_46_47: 1
22_23_32_52;2_39_41_47: 1
22_23_32_52;2_39_41_63: 1
22_23_32_52;2_39_43_63: 2
22_23_32_52;2_39_47_63: 1
22_23_32_52;2_45_54_63: 1
22_23_32_52;2_47_54_63: 2
